action_id,name,action_type,reversibility,runbook_ref,description
ops-cmd-2,rm -rf 删除备份存储、重删目录、datastore、数据库文件,restore,irreversible,,直接销毁备份数据，无法恢复
ops-cmd-3,mkfs.ext4 /mkfs.xfs/dd 格式化、覆盖磁盘,restore,irreversible,,存储池损坏，所有备份不可用
ops-cmd-4,kill -9 /pkill/killall 强杀产品核心进程,restore,reversible,,备份链断裂、元数据损坏、任务异常
ops-cmd-5,内置数据库 update /delete/drop /truncate,restore,irreversible,,元数据错乱，系统无法启动
ops-cmd-6,docker rm / rmi / prune，kubectl delete pod/pvc,restore,irreversible,,容器 / 持久化数据销毁，系统不可恢复
ops-cmd-7,手动修改产品 .conf/.xml/.properties 配置文件,restore,partially_reversible,,服务启动失败、端口冲突、参数异常
ops-cmd-8,随意 systemctl stop 产品服务,restore,reversible,,任务中断、副本异常、服务不稳定
ops-cmd-9,chmod /chown 修改产品目录 / 文件权限,restore,partially_reversible,,进程无读写权限，任务大面积失败
ops-cmd-10,手动 umount /mount 备份存储,restore,reversible,,存储离线，备份 / 恢复中断
ops-cmd-11,手动修改 Windows 注册表（产品相关项）,restore,partially_reversible,,服务无法启动、参数错乱、授权异常
ops-cmd-12,手动删除 / 导出 / 导入产品注册表项,restore,irreversible,,客户端 / 服务端失联、备份任务丢失
ops-cmd-13,iptables /firewall-cmd 手动修改防火墙规则,restore,partially_reversible,,网络断连、客户端无法注册、任务失败
ops-cmd-14,手动修改 sysctl.conf/limits.conf 内核参数,restore,partially_reversible,,并发、性能、连接异常
ops-cmd-15,ps /top/free /df/netstat /tail 等查看命令,restore,reversible,,仅查看，不删不改
ops-cmd-16,systemctl status 查看服务状态,restore,reversible,,仅查看状态
ops-cmd-17,官方脚本启停服务（backupSrv /backupAgent）,restore,reversible,,按标准流程操作
pfmea-action-hadoop-2,"
恢复界面增加对于恢复风险提示说明。",restore,partially_reversible,,"
恢复界面增加对于恢复风险提示说明。"
pfmea-action-公共-3,加入最佳实践,restore,partially_reversible,,加入最佳实践
pfmea-action-cas-4,优化当前处理措施，不能kill进程，确保任务正常执行,restore,partially_reversible,,优化当前处理措施，不能kill进程，确保任务正常执行
pfmea-action-cas-5,对虚拟机漂移的场景进行处理，确保数据源不紊乱,restore,partially_reversible,,对虚拟机漂移的场景进行处理，确保数据源不紊乱
pfmea-action-lanfree-6,整体优化lanfree模块,restore,partially_reversible,,整体优化lanfree模块
pfmea-action-vm-7,支持@字符命名的虚拟机,restore,partially_reversible,,支持@字符命名的虚拟机
pfmea-action-cas-8,扩大虚拟机的支持数量,restore,partially_reversible,,扩大虚拟机的支持数量
pfmea-action-eoss-9,对EOSS性能进行优化,restore,partially_reversible,,对EOSS性能进行优化
pfmea-action-openstack-10,应对对生产服务器的影响,restore,partially_reversible,,
pfmea-action-openstack-11,应对对生产服务器的影响,restore,partially_reversible,,
pfmea-action-vmware_-12,应对对生产服务器的影响,restore,partially_reversible,,
pfmea-action-vmware_-13,应对对生产服务器的影响,restore,partially_reversible,,
pfmea-action-anyshare-14,应对无法恢复,restore,partially_reversible,,
pfmea-action-d2c-2,"
增加断点续传功能",restore,partially_reversible,,"
增加断点续传功能"
pfmea-action-d2d2c-3,对任务数进行扩展支持,restore,partially_reversible,,对任务数进行扩展支持
pfmea-action-d2c-4,对任务数进行扩展支持,restore,partially_reversible,,对任务数进行扩展支持
pfmea-action-云上恢复-5,进行支持,restore,partially_reversible,,进行支持
pfmea-action-d2t-2,"
2.产品界面上进行提示说明。
3.未将root用户添加至db2iadm、dasadm用户组，不允许备份",restore,partially_reversible,,"
2.产品界面上进行提示说明。
3.未将root用户添加至db2iadm、dasadm用户组，不允许备份"
pfmea-action-d2d2t_d2t-3,代码改进：增加对磁带序列号中有+的磁带的识别,restore,partially_reversible,,代码改进：增加对磁带序列号中有+的磁带的识别
pfmea-action-d2d2t_d2t-4,最佳实践中说明ols.db指定路径存放的方法,restore,partially_reversible,,最佳实践中说明ols.db指定路径存放的方法
pfmea-action-d2d2t_d2t-5,"2. 自备份不对ols.db进行备份的风险播报。---已完成
3. AB6.0.28版本自备份功能增加对ols.db支持。---王瀚、周聪，1月份（AB6.0.",restore,partially_reversible,,"2. 自备份不对ols.db进行备份的风险播报。---已完成
3. AB6.0.28版本自备份功能增加对ols.db支持。---王瀚、周聪，1月份（AB6.0.28）完成
4. 开发重建索引工具，以防后期客户需要，通过重建索引工具帮助客户进行原介质集1及2中的历史归档数据恢复。---秦睿东，Q1处理完
"
pfmea-action-d2t-6,改为并行查找,restore,partially_reversible,,改为并行查找
pfmea-action-d2d2t_d2t-7,方案兼容性列表中补充说明,restore,partially_reversible,,方案兼容性列表中补充说明
pfmea-action-d2d2t_d2t-8,去掉理论上支持但未经过测试的环境描述,restore,partially_reversible,,去掉理论上支持但未经过测试的环境描述
pfmea-action-客户端安装卸载-2,客户端安装卸载最佳实践中加上对各种操作系统应该选择安装哪种类型的客户端包的相关说明,restore,partially_reversible,,客户端安装卸载最佳实践中加上对各种操作系统应该选择安装哪种类型的客户端包的相关说明
pfmea-action-自备份-3,自备份最佳实践中进行补充说明,restore,partially_reversible,,自备份最佳实践中进行补充说明
pfmea-action-生产指导-2,针对宝德设备更新发布专门的引导镜像,restore,partially_reversible,,针对宝德设备更新发布专门的引导镜像
pfmea-action-生产指导-3,对外提供专门针对华为的生产指导文档及硬件兼容性列表,restore,partially_reversible,,对外提供专门针对华为的生产指导文档及硬件兼容性列表
pfmea-action-生产指导-4,对外提供规避方案,restore,partially_reversible,,对外提供规避方案
pfmea-realtime-action-1,添加最佳实践,restore,partially_reversible,,恢复前检查目标路径
dfmea-action-数据备份-2,810,restore,partially_reversible,,810
dfmea-action-kvm数据备份评审-3,343,restore,partially_reversible,,343
dfmea-action-kvm数据备份评审-4,320,restore,partially_reversible,,320
dfmea-action-kvm数据备份评审-5,0,restore,partially_reversible,,0
dfmea-action-kvm数据备份评审-6,512,restore,partially_reversible,,512
dfmea-action-kvm数据备份评审-7,0,restore,partially_reversible,,0
dfmea-action-kvm数据备份评审-8,168,restore,partially_reversible,,168
dfmea-action-kvm数据备份评审-9,108,restore,partially_reversible,,108
dfmea-action-kvm数据备份评审-10,100,restore,partially_reversible,,100
dfmea-action-浏览恢复-2,800,restore,partially_reversible,,800
dfmea-action-数据恢复评审-3,480,restore,partially_reversible,,480
dfmea-action-数据恢复评审-4,180,restore,partially_reversible,,180
dfmea-action-挂载恢复-5,108,restore,partially_reversible,,108
dfmea-action-细粒度恢复-6,30,restore,partially_reversible,,30
dfmea-action-数据恢复评审-7,30,restore,partially_reversible,,30
dfmea-action-演练-2,648,restore,partially_reversible,,648
dfmea-action-容灾接管评审-3,0,restore,partially_reversible,,0
dfmea-action-容灾接管评审-4,252,restore,partially_reversible,,252
dfmea-action-数据回切-5,432,restore,partially_reversible,,432
dfmea-action-容灾接管评审-6,36,restore,partially_reversible,,36
decl-action-1,遵循产品说明操作,wait,reversible,,当虚拟机存在大量快照盘且两次连续备份期间数据量变化过大，备份完成删除快照时，可能出现VMware快照删除缓慢，可能会导致生产机一小段时间不可用。（这是VMware删除快照接口处理速度慢导致的。此时可通过先将虚拟机关机，手动整合快照后再备份的方法解决。）
decl-action-2,遵循产品说明操作,wait,reversible,,备份大容量虚拟机时，未判断存储剩余空间，备份期间若生产机变化数据过大，可能导致虚拟机所在存储空间不足，进而生产机不可用。
decl-action-3,遵循产品说明操作,wait,reversible,,挂载恢复到虚拟平台上的虚拟机，不允许执行整合磁盘的操作，否则无法保证再次挂载恢复即细粒度恢复该虚拟机的备份数据。请勿对挂载恢复的虚拟机做磁盘整合操作。
decl-action-4,遵循产品说明操作,wait,reversible,,高级备份及挂载恢复会将存储柜的NFS卷挂载到用户虚拟平台，执行完成会自动卸载，若用户误操作删除NFS存储中数据，可能导致部分虚拟机无法正常挂载恢复及高级恢复  请勿对挂载过去的NFS存储进行删除操作。
decl-action-5,遵循产品说明操作,wait,reversible,,虚拟机状态为非“运行中”或“已停止”状态时，备份失败。备份前，请先检查并确保要备份的虚拟机处于“运行中”或“已停止”状态。
decl-action-6,遵循产品说明操作,wait,reversible,,虚拟机未安装Tools时，备份失败。备份前，请先检查并确保要备份的虚拟机已安装Tools。
decl-action-7,遵循产品说明操作,wait,reversible,,Oracle数据库备份要求数据库必须开启归档模式且Oracle数据库的安装用户必须对归档路径有读写权限。
decl-action-8,遵循产品说明操作,wait,reversible,,Oracle数据库原机恢复，会覆盖原生产机上的数据库。
decl-action-9,遵循产品说明操作,wait,reversible,,在进行浏览恢复时需要对客户机数据库状态做相应的更改：1）数据库恢复实例，需将恢复目的地的数据库状态更改为nomount或mount状态；2）恢复控制文件时，数据库需启动到nomount状态；3）恢复数据文件时，数据库需启动到mount状态；4）恢复日志时，数据库需启动到mount或open状态，需手工输入归档日志的序列号方可进行恢复，或者指定日志文件恢复的时间范围，默认恢复至原路径；如果指定日志文
decl-action-10,遵循产品说明操作,wait,reversible,,完全备份、增量备份、归档日志备份请做好合理安排，以免数据丢失。
decl-action-11,遵循产品说明操作,wait,reversible,,开启trace及日志有撑爆系统盘的风险。
decl-action-12,遵循产品说明操作,wait,reversible,,恢复过程中停止任务或恢复失败，未再次执行恢复，会导致数据库损坏或者数据丢失。
decl-action-13,遵循产品说明操作,wait,reversible,,处理影响客户问题时，需取消副本保留策略，防止客户副本被误删除。
decl-action-14,遵循产品说明操作,wait,reversible,,备份过程中若AnyShare删除了部分数据，存在数据和一开始获取的元数据不一致的情况，实际被删除的数据未备份，恢复的时候无法恢复。
decl-action-15,遵循产品说明操作,wait,reversible,,AnyShare整机备份，不支持超过“4M*10000AnyShare服务器的存储最大支持块数量”的文件做备份恢复，存在备份成功但无法恢复的问题。
decl-action-16,遵循产品说明操作,wait,reversible,,当AnyShare备份任务运行时，对应AnyShare资源禁止做资源回收，回收后正在运行中的备份任务会直接被删除。
decl-action-17,遵循产品说明操作,wait,reversible,,SQL Serve恢复完全备份时间点、差异备份时间点恢复成功后数据库偶现正在还原；在数据库的备份数据量增加的情况下，恢复事务日志备份时间点恢复成功后数据库必现正在还原。后续提供补丁。
decl-action-18,遵循产品说明操作,wait,reversible,,当前版本一个客户端只允许新建一个SQL Server备份任务
decl-action-19,遵循产品说明操作,wait,reversible,,若当次备份任务运行中已产生了时间点，在任务运行未完成时，此时间点的备份数据不完整，禁止使用该时间点做数据恢复。
decl-action-20,遵循产品说明操作,wait,reversible,,不支持两个或多个任务同时恢复同一文件到同一路径，可能会导致数据丢失。
decl-action-21,遵循产品说明操作,wait,reversible,,备份过程中控制台掉电，可能会导致当前及其他备份任务数据出错，致使数据不可用。为降低此风险，请保证控制台供电稳定。
